Poll_ID,Pollster,Date,Parliament_ID,CDUCSU,SPD,Gruene,FDP,Linke,AfD,BSW
BT01180509W,Infratest dimap,2018-05-09,BT,32,18,13,8,9,15,NA
BT03180512O,Emnid,2018-05-12,BT,33,17,12,9,10,14,NA
BT02180512F,Forsa,2018-05-12,BT,34,17,13,8,10,13,NA
NW01180513E,Infratest dimap,2018-05-13,NW,35,22,12,9,7,12,NA
BE01180516Q,Infratest dimap,2018-05-16,BE,21,18,15,6,22,11,NA
BY04180517J,GMS,2018-05-17,BY,42,13,12,5,2,13,NA
HE05180517H,INSA,2018-05-17,HE,33,24,13,7,8,11,NA
BT09180517H,Allensbach,2018-05-17,BT,34,20,11,9,10,11.5,NA
BT04180517B,GMS,2018-05-17,BT,34,16,12,9,10,14,NA
BT01180517X,Infratest dimap,2018-05-17,BT,33,17,13,8,10,14,NA
BT06180518M,Forschungsgruppe Wahlen,2018-05-18,BT,34,20,12,8,9,14,NA
BT03180519P,Emnid,2018-05-19,BT,33,17,13,9,10,14,NA
BT02180519G,Forsa,2018-05-19,BT,33,18,12,9,9,13,NA
ST23180522U,Conoscope,2018-05-22,ST,35,16,5,6,20,15,NA
BT03180526Q,Emnid,2018-05-26,BT,33,17,13,8,11,14,NA
BT02180527H,Forsa,2018-05-27,BT,33,18,13,8,10,13,NA
HB05180528D,INSA,2018-05-28,HB,24,22,14,9,17,10,NA
BT13180530V,YouGov,2018-05-30,BT,33,17,11,9,11,16,NA
BE02180601R,Forsa,2018-06-01,BE,19,18,18,7,20,11,NA
TH05180602B,INSA,2018-06-02,TH,31,10,6,5,26,18,NA
BT03180602R,Emnid,2018-06-02,BT,32,18,13,7,11,15,NA
BT02180602I,Forsa,2018-06-02,BT,34,18,12,8,10,13,NA
BT06180608N,Forschungsgruppe Wahlen,2018-06-08,BT,33,20,13,8,10,13,NA
BT03180609S,Emnid,2018-06-09,BT,32,19,12,8,11,14,NA
BT02180609J,Forsa,2018-06-09,BT,33,18,12,9,10,13,NA
HE06180612I,Forschungsgruppe Wahlen,2018-06-12,HE,31,25,13,8,8,11,NA
SN05180612X,INSA,2018-06-12,SN,32,9,6,6,19,24,NA
BT01180614Y,Infratest dimap,2018-06-14,BT,31,18,13,8,10,15,NA
BT03180616T,Emnid,2018-06-16,BT,33,18,11,8,11,15,NA
BT02180616L,Forsa,2018-06-16,BT,30,16,14,10,9,15,NA
BT02180616K,Forsa,2018-06-16,BT,34,18,12,9,8,13,NA
BT09180620I,Allensbach,2018-06-20,BT,33,21,11,9.5,9.5,13,NA
HE01180621J,Infratest dimap,2018-06-21,HE,31,22,14,7,7,15,NA
RP01180621G,Infratest dimap,2018-06-21,RP,31,29,11,7,5,13,NA
SL01180621H,Infratest dimap,2018-06-21,SL,35,26,6,4,12,15,NA
BT03180623U,Emnid,2018-06-23,BT,31,18,12,9,10,16,NA
BT02180624M,Forsa,2018-06-24,BT,30,17,13,9,10,15,NA
BY02180625K,Forsa,2018-06-25,BY,40,13,14,5,3,13,NA
BY05180627L,INSA,2018-06-27,BY,41,13,13,5,3,14,NA
BT01180627A,Infratest dimap,2018-06-27,BT,32,19,13,8,9,14,NA
BT13180627A,YouGov,2018-06-27,BT,30,17,12,10,11,16,NA
BT06180629P,Forschungsgruppe Wahlen,2018-06-29,BT,32,18,14,9,10,14,NA
MV02180630X,Forsa,2018-06-30,MV,18,25,8,4,16,22,NA
BT03180630V,Emnid,2018-06-30,BT,32,19,12,9,9,14,NA
BT02180630N,Forsa,2018-06-30,BT,31,17,12,10,10,15,NA
BE02180701S,Forsa,2018-07-01,BE,18,19,16,8,21,11,NA
BT01180705B,Infratest dimap,2018-07-05,BT,30,18,14,8,9,16,NA
BT03180707W,Emnid,2018-07-07,BT,30,17,12,9,9,17,NA
BT02180707O,Forsa,2018-07-07,BT,30,17,13,10,9,16,NA
BY02180709M,Forsa,2018-07-09,BY,38,12,15,6,3,14,NA
BY04180712N,GMS,2018-07-12,BY,39,12,14,6,3,14,NA
BT04180712C,GMS,2018-07-12,BT,30,17,12,9,10,17,NA
BT06180713Q,Forschungsgruppe Wahlen,2018-07-13,BT,31,18,14,7,11,15,NA
BT03180714X,Emnid,2018-07-14,BT,30,18,12,9,10,16,NA
BT02180714P,Forsa,2018-07-14,BT,31,17,13,9,9,16,NA
BT09180717J,Allensbach,2018-07-17,BT,30.5,20,12,9.5,9,15,NA
BY01180718O,Infratest dimap,2018-07-18,BY,38,13,16,5,4,12,NA
BE05180718T,INSA,2018-07-18,BE,18,17,18,7,17,14,NA
BT03180721Y,Emnid,2018-07-21,BT,30,19,12,9,10,15,NA
BT02180721Q,Forsa,2018-07-21,BT,31,18,13,8,10,15,NA
BT13180725C,YouGov,2018-07-25,BT,30,17,12,9,11,17,NA
BT01180726C,Infratest dimap,2018-07-26,BT,30,18,15,8,8,16,NA
BT03180728A,Emnid,2018-07-28,BT,29,18,14,9,10,15,NA
BT02180728R,Forsa,2018-07-28,BT,32,18,13,9,9,14,NA
BE02180731U,Forsa,2018-07-31,BE,19,17,17,7,21,13,NA
BY04180801P,GMS,2018-08-01,BY,39,12,14,6,3,13,NA
BT04180801D,GMS,2018-08-01,BT,30,17,13,10,10,16,NA
BT01180802D,Infratest dimap,2018-08-02,BT,29,18,15,7,9,17,NA
HB22180803E,pollytix,2018-08-03,HB,24,28,14,10,14,8,NA
BT03180804B,Emnid,2018-08-04,BT,30,18,15,8,9,15,NA
BT02180804S,Forsa,2018-08-04,BT,31,18,13,10,9,14,NA
BT06180810R,Forschungsgruppe Wahlen,2018-08-10,BT,31,18,15,8,9,16,NA
BT03180811C,Emnid,2018-08-11,BT,31,17,15,8,10,14,NA
BT02180811T,Forsa,2018-08-11,BT,30,18,15,10,9,14,NA
BY02180813Q,Forsa,2018-08-13,BY,37,12,17,5,4,13,NA
BT09180815K,Allensbach,2018-08-15,BT,31,20,12.5,9,9,14.5,NA
BB05180817N,INSA,2018-08-17,BB,18,23,8,5,18,21,NA
BT03180818D,Emnid,2018-08-18,BT,30,17,15,9,9,15,NA
BT02180818U,Forsa,2018-08-18,BT,30,18,15,9,10,14,NA
BT01180823E,Infratest dimap,2018-08-23,BT,29,18,14,8,9,17,NA
BT03180825E,Emnid,2018-08-25,BT,30,18,15,9,9,14,NA
BT02180825V,Forsa,2018-08-25,BT,30,18,15,8,10,14,NA
BY05180828R,INSA,2018-08-28,BY,36,13,15,6,3,14,NA
SN01180828Y,Infratest dimap,2018-08-28,SN,30,11,6,5,18,25,NA
